Time[ms], Volt[V],AVE角速度,角加速度,,MAX角加速度
1235,1.704,-2.45275,-10.1,,
1240,1.718,-2.50325,-5.45,,
1245,1.731,-2.5305,-5.1,,
1250,1.744,-2.556,-8.75,,
1255,1.757,-2.59975,-16.05,,
1260,1.771,-2.68,-3.1,,
1265,1.784,-2.6955,-2.1,,
1270,1.798,-2.706,-12.75,,
1275,1.811,-2.76975,-16.7,,
1280,1.825,-2.85325,-4.6,,
1285,1.838,-2.87625,-8.45,,
1290,1.852,-2.9185,-17.9,,
1295,1.865,-3.008,-5.95,,
1300,1.879,-3.03775,-10.95,,
1305,1.893,-3.0925,-16.65,,
1310,1.906,-3.17575,-9.4,,
1315,1.92,-3.22275,-11.45,,
1320,1.934,-3.28,-12.6,,
1325,1.948,-3.343,-16,,
1330,1.962,-3.423,-12.6,,
1335,1.976,-3.486,-16.25,,
1340,1.99,-3.56725,-12.05,,
1345,2.004,-3.6275,-10.55,,
1350,2.018,-3.68025,-18.85,,
1355,2.032,-3.7745,-13.3,,
1360,2.046,-3.841,-22.45,,
1365,2.06,-3.95325,-4,,
1370,2.075,-3.97325,-22.2,,
1375,2.089,-4.08425,-8.75,,
1380,2.103,-4.128,-23.8,,
1385,2.118,-4.247,-15.45,,
1390,2.132,-4.32425,-16.25,,
1395,2.146,-4.4055,-14.3,,
1400,2.161,-4.477,-16.1,,
1405,2.175,-4.5575,-15.3,,
1410,2.19,-4.634,-12.1,,
1415,2.205,-4.6945,-15.75,,
1420,2.219,-4.77325,-15.25,,
1425,2.234,-4.8495,-14.5,,
1430,2.249,-4.922,-15.4,,
1435,2.263,-4.999,-17.25,,
1440,2.278,-5.08525,-9.3,,
1445,2.293,-5.13175,-21.3,,
1450,2.308,-5.23825,-10.4,,
1455,2.323,-5.29025,-11.6,,
1460,2.337,-5.34825,-10.65,,
1465,2.352,-5.4015,-16.45,,
1470,2.367,-5.48375,-9.1,,
1475,2.382,-5.52925,-15.55,,
1480,2.397,-5.607,-8.75,,
1485,2.413,-5.65075,-12.05,,
1490,2.428,-5.711,-11.9,,
1495,2.443,-5.7705,-8.45,,
1500,2.458,-5.81275,-11.95,,
1505,2.473,-5.8725,-6.4,,
1510,2.489,-5.9045,-8,,
1515,2.504,-5.9445,-3.5,,
1520,2.519,-5.962,-11.3,,
1525,2.535,-6.0185,-10.8,,
1530,2.55,-6.0725,-3,,
1535,2.565,-6.0875,-7.9,,
1540,2.581,-6.127,-3.4,,
1545,2.596,-6.144,-8.7,,
1550,2.612,-6.1875,-4.8,,
1555,2.627,-6.2115,-7.55,,
1560,2.643,-6.24925,-1.9,,
1565,2.659,-6.25875,-5.05,,
1570,2.674,-6.284,-5.7,,
1575,2.69,-6.3125,-0.55,,
1580,2.706,-6.31525,-8.65,,
1585,2.722,-6.3585,-4.2,,
1590,2.737,-6.3795,-6.5,,
1595,2.753,-6.412,0,,
1600,2.769,-6.412,4.1,,
1605,2.785,-6.3915,-9.05,,
1610,2.801,-6.43675,-4.45,,
1615,2.817,-6.459,-1.1,,
1620,2.833,-6.4645,1.25,,
1625,2.849,-6.45825,-7.2,,
1630,2.865,-6.49425,1.65,,
1635,2.881,-6.486,-4.2,,
1640,2.897,-6.507,2.4,,
1645,2.913,-6.495,-1.65,,
1650,2.93,-6.50325,-5.15,,
1655,2.946,-6.529,3.8,,
1660,2.962,-6.51,-3.05,,
1665,2.978,-6.52525,-1.15,,
1670,2.995,-6.531,-2.55,,
1675,3.011,-6.54375,-5.4,,
1680,3.027,-6.57075,-0.1,,
1685,3.044,-6.57125,-9.15,,
1690,3.06,-6.617,3,,
1695,3.076,-6.602,1.75,,
1700,3.093,-6.59325,-6.9,,
1705,3.109,-6.62775,-5.25,,
1710,3.126,-6.654,-2.2,,
1715,3.143,-6.665,-6.55,,
1720,3.159,-6.69775,-2.35,,
1725,3.176,-6.7095,-2.45,,
1730,3.192,-6.72175,-3.35,,
1735,3.209,-6.7385,-6.85,,
1740,3.226,-6.77275,-3.25,,
1745,3.243,-6.789,-4.6,,
1750,3.259,-6.812,-0.45,,
1755,3.276,-6.81425,-7.7,,
1760,3.293,-6.85275,-11.6,,
1765,3.31,-6.91075,4.3,,
1770,3.327,-6.88925,-12.55,,
1775,3.343,-6.952,-3.25,,
1780,3.36,-6.96825,-6.55,,
1785,3.377,-7.001,-9.05,,
1790,3.394,-7.04625,1.7,,
1795,3.411,-7.03775,-10.85,,
1800,3.428,-7.092,-10.2,,
1805,3.445,-7.143,-3.35,,
1810,3.462,-7.15975,-17.45,,
1815,3.479,-7.247,2.75,,
1820,3.497,-7.23325,-7.3,,
1825,3.514,-7.26975,-8.65,,
1830,3.531,-7.313,-13.65,,
1835,3.548,-7.38125,-2,,
1840,3.565,-7.39125,0.2,,
1845,3.583,-7.39025,-7.95,,
1850,3.6,-7.43,-19.9,,
1855,3.617,-7.5295,-5.35,,
1860,3.634,-7.55625,-0.55,,
1865,3.652,-7.559,-11.35,,
1870,3.669,-7.61575,-5.6,,
1875,3.686,-7.64375,-12.25,,
1880,3.704,-7.705,-7.15,,
1885,3.721,-7.74075,-12.4,,
1890,3.739,-7.80275,-3.7,,
1895,3.756,-7.82125,-12.4,,
1900,3.774,-7.88325,-7.45,,
1905,3.791,-7.9205,-11.4,,
1910,3.809,-7.9775,-12.95,,
1915,3.826,-8.04225,-9.2,,
1920,3.844,-8.08825,-3.5,,
1925,3.862,-8.10575,-14.5,,
1930,3.879,-8.17825,-5.1,,
1935,3.897,-8.20375,-5.05,,
1940,3.914,-8.229,-17.45,,
1945,3.932,-8.31625,-4.6,,
1950,3.95,-8.33925,-15.25,,
1955,3.968,-8.4155,-3.45,,
1960,3.985,-8.43275,-16.15,,
1965,4.003,-8.5135,-6.65,,
1970,4.021,-8.54675,-2.3,,
1975,4.039,-8.55825,-10.55,,
1980,4.056,-8.611,-9.8,,
1985,4.074,-8.66,-9.95,,
1990,4.092,-8.70975,-9.45,,
1995,4.11,-8.757,-4.65,,
2000,4.128,-8.78025,-1.75,,
2005,4.146,-8.789,-10.55,,
2010,4.164,-8.84175,-10.6,,
2015,4.182,-8.89475,-12.9,,
2020,4.2,-8.95925,-1.35,,
